session_type,frame,risk,UC1_sim,UC2_instab,UC3_presence,UC4_drift
Abrupt Impersonation,28,0.0181,0.6713,0.1823,0.8292,0.1383
Abrupt Impersonation,29,0.0176,0.6878,0.1656,0.818,0.1443
Abrupt Impersonation,30,0.0162,0.703,0.151,0.9204,0.1385
Abrupt Impersonation,31,0.0149,0.7719,0.1697,0.9084,0.1315
Abrupt Impersonation,32,0.0141,0.8548,0.1938,0.8911,0.1599
Abrupt Impersonation,33,0.0125,0.8408,0.1335,0.9089,0.1269
Abrupt Impersonation,34,0.0107,0.8024,0.101,0.9314,0.116
Abrupt Impersonation,35,0.0095,0.7993,0.113,0.8737,0.1188
Abrupt Impersonation,36,0.0085,0.7738,0.0918,0.863,0.1272
Abrupt Impersonation,37,0.0073,0.7464,0.0464,0.9012,0.1094
Abrupt Impersonation,38,0.0064,0.752,0.0887,0.9064,0.11
Abrupt Impersonation,39,0.0057,0.7152,0.1075,0.9046,0.0981
Abrupt Impersonation,40,0.005,0.7535,0.1235,0.9634,0.0964
Abrupt Impersonation,41,0.0045,0.7561,0.1064,0.9193,0.0897
Abrupt Impersonation,42,0.004,0.7732,0.1395,0.9139,0.0627
Abrupt Impersonation,43,0.0037,0.7695,0.1275,0.8839,0.0633
Abrupt Impersonation,44,0.0034,0.7434,0.1595,0.9431,0.0828
Abrupt Impersonation,45,0.0032,0.712,0.1233,0.8484,0.0605
Abrupt Impersonation,46,0.003,0.7152,0.0943,0.8219,0.0569
Abrupt Impersonation,47,0.0029,0.7048,0.1031,0.8053,0.0728
Abrupt Impersonation,48,0.0027,0.7289,0.082,0.8415,0.0499
Abrupt Impersonation,49,0.0025,0.7394,0.1075,0.8698,0.0567
Abrupt Impersonation,50,0.0023,0.6911,0.1161,0.9271,0.0364
Abrupt Impersonation,51,0.0022,0.7102,0.086,0.8507,0.0653
Abrupt Impersonation,52,0.0022,0.6671,0.0919,0.8837,0.1148
Abrupt Impersonation,53,0.0023,0.6611,0.0835,0.8678,0.1507
Abrupt Impersonation,54,0.0025,0.6695,0.1164,0.8386,0.1339
Abrupt Impersonation,55,0.0026,0.6016,0.0955,0.8645,0.14
Abrupt Impersonation,56,0.0027,0.6352,0.0838,0.8251,0.132
Abrupt Impersonation,57,0.0029,0.6663,0.126,0.7428,0.1249
Abrupt Impersonation,58,0.0034,0.6797,0.1944,0.7448,0.1492
Abrupt Impersonation,59,0.0039,0.6799,0.2449,0.6989,0.1096
Abrupt Impersonation,60,0.0058,0.5362,0.3223,0.6958,0.2438
Abrupt Impersonation,61,0.0098,0.5257,0.4027,0.736,0.3041
Abrupt Impersonation,62,0.0168,0.4989,0.3837,0.7678,0.3038
Abrupt Impersonation,63,0.0254,0.5169,0.3227,0.8485,0.2674
Abrupt Impersonation,64,0.0396,0.4502,0.3285,0.8418,0.2765
Abrupt Impersonation,65,0.0669,0.4846,0.351,0.7799,0.3035
Abrupt Impersonation,66,0.1106,0.508,0.3027,0.7601,0.297
Abrupt Impersonation,67,0.1769,0.5098,0.2186,0.7363,0.3105
Abrupt Impersonation,68,0.2649,0.4926,0.1581,0.7035,0.2795
Abrupt Impersonation,69,0.3602,0.5406,0.2174,0.7454,0.1851
Abrupt Impersonation,70,0.4837,0.4413,0.1929,0.7354,0.2328
Abrupt Impersonation,71,0.6237,0.4912,0.2045,0.6707,0.2648
Abrupt Impersonation,72,0.7499,0.5199,0.233,0.7285,0.2688
Abrupt Impersonation,73,0.8479,0.5468,0.2787,0.7435,0.2689
Abrupt Impersonation,74,0.9124,0.576,0.2672,0.776,0.3097
Abrupt Impersonation,75,0.9496,0.5353,0.3014,0.7931,0.2815
Abrupt Impersonation,76,0.9682,0.5256,0.2573,0.8297,0.247
Abrupt Impersonation,77,0.978,0.574,0.2477,0.8359,0.2395
Abrupt Impersonation,78,0.9836,0.6022,0.2046,0.8916,0.2912
Abrupt Impersonation,79,0.9871,0.6119,0.2815,0.9048,0.2266
Abrupt Impersonation,80,0.9897,0.5114,0.2858,0.9146,0.2803
Abrupt Impersonation,81,0.9912,0.5557,0.252,0.9237,0.2488
Abrupt Impersonation,82,0.9921,0.6333,0.2437,0.8527,0.2026
Abrupt Impersonation,83,0.9929,0.6891,0.2434,0.8469,0.2628
Abrupt Impersonation,84,0.9937,0.6875,0.2918,0.8379,0.2568
Abrupt Impersonation,85,0.9941,0.5729,0.212,0.85,0.201
Abrupt Impersonation,86,0.9943,0.6336,0.1735,0.7942,0.1932
Abrupt Impersonation,87,0.9947,0.6162,0.1756,0.873,0.241
Abrupt Impersonation,88,0.9953,0.4507,0.3307,0.8754,0.2926
Abrupt Impersonation,89,0.9959,0.4939,0.3794,0.8221,0.2682
Abrupt Impersonation,90,0.9963,0.4125,0.3646,0.7557,0.2826
Abrupt Impersonation,91,0.9968,0.3557,0.3954,0.7595,0.3078
Abrupt Impersonation,92,0.9972,0.3492,0.4925,0.7708,0.272
Abrupt Impersonation,93,0.9975,0.4643,0.4543,0.7539,0.2836
Abrupt Impersonation,94,0.9977,0.4582,0.4149,0.7737,0.2772
Abrupt Impersonation,95,0.9979,0.4936,0.4645,0.7596,0.2506
Abrupt Impersonation,96,0.998,0.617,0.4688,0.7979,0.2297
Abrupt Impersonation,97,0.9981,0.7123,0.4819,0.7767,0.2356
Abrupt Impersonation,98,0.9982,0.6859,0.4308,0.7876,0.239
Abrupt Impersonation,99,0.9983,0.6547,0.5156,0.8397,0.2168
Abrupt Impersonation,100,0.9984,0.5638,0.5763,0.9511,0.2039
Abrupt Impersonation,101,0.9985,0.5223,0.5677,0.895,0.2577
Abrupt Impersonation,102,0.9986,0.5579,0.5666,0.8702,0.2656
Abrupt Impersonation,103,0.9987,0.5862,0.4228,0.8332,0.3005
Abrupt Impersonation,104,0.9988,0.5923,0.441,0.8703,0.3436
Abrupt Impersonation,105,0.9988,0.6533,0.4126,0.8204,0.3544
Abrupt Impersonation,106,0.9989,0.5935,0.4216,0.8059,0.4344
Abrupt Impersonation,107,0.999,0.5879,0.4423,0.8128,0.372
Abrupt Impersonation,108,0.999,0.633,0.406,0.7786,0.3877
Abrupt Impersonation,109,0.999,0.6619,0.304,0.7505,0.3537
Abrupt Impersonation,110,0.9991,0.7173,0.3258,0.7469,0.4163
Abrupt Impersonation,111,0.9991,0.7218,0.2859,0.6753,0.463
Abrupt Impersonation,112,0.9991,0.681,0.2736,0.6421,0.3487
Abrupt Impersonation,113,0.9991,0.6887,0.2487,0.6574,0.2931
Abrupt Impersonation,114,0.9991,0.6091,0.2414,0.694,0.3146
Abrupt Impersonation,115,0.9991,0.5011,0.1315,0.7111,0.3382
Abrupt Impersonation,116,0.9991,0.5496,0.2239,0.6587,0.356
Abrupt Impersonation,117,0.9992,0.5507,0.2517,0.6693,0.3371
Abrupt Impersonation,118,0.9992,0.5746,0.3205,0.7316,0.3432
Abrupt Impersonation,119,0.9993,0.4681,0.4247,0.7743,0.3568
Sophisticated Drift,0,0.4425,0.804,0.1885,0.9769,0.206
Sophisticated Drift,1,0.4423,0.7081,0.1959,0.9595,0.1886
Sophisticated Drift,2,0.4443,0.7486,0.1589,0.883,0.1846
Sophisticated Drift,3,0.4623,0.7128,0.242,0.8448,0.1943
Sophisticated Drift,4,0.4932,0.7662,0.324,0.7871,0.1932
Sophisticated Drift,5,0.5192,0.7617,0.2348,0.7491,0.1921
Sophisticated Drift,6,0.54,0.73,0.2333,0.8222,0.1674
Sophisticated Drift,7,0.5641,0.7562,0.325,0.839,0.1357
Sophisticated Drift,8,0.5935,0.7244,0.3303,0.7795,0.1377
Sophisticated Drift,9,0.6181,0.6973,0.3111,0.8207,0.1235
Sophisticated Drift,10,0.6345,0.6466,0.2766,0.8812,0.0993
Sophisticated Drift,11,0.6402,0.6685,0.2333,0.8643,0.0801
Sophisticated Drift,12,0.6381,0.7092,0.2104,0.8367,0.0806
Sophisticated Drift,13,0.624,0.7659,0.1766,0.8275,0.0682
Sophisticated Drift,14,0.6076,0.765,0.2025,0.8458,0.0712
Sophisticated Drift,15,0.5822,0.8144,0.1764,0.8764,0.0741
Sophisticated Drift,16,0.5493,0.813,0.1523,0.9253,0.0771
Sophisticated Drift,17,0.5061,0.8072,0.0998,0.9681,0.08
Sophisticated Drift,18,0.4645,0.8302,0.1037,1.0,0.1314
Sophisticated Drift,19,0.4128,0.8703,0.0715,1.0,0.106
Sophisticated Drift,20,0.3599,0.8454,0.0742,1.0,0.1021
Sophisticated Drift,21,0.3186,0.8283,0.1279,0.9525,0.1328
Sophisticated Drift,22,0.2828,0.8173,0.1452,0.9346,0.1355
Sophisticated Drift,23,0.2513,0.8182,0.1657,0.9382,0.1359
Sophisticated Drift,24,0.2321,0.7775,0.1768,0.9118,0.1796
Sophisticated Drift,25,0.2122,0.8242,0.1738,0.9439,0.1741
Sophisticated Drift,26,0.193,0.8037,0.1634,0.9177,0.1526
Sophisticated Drift,27,0.1726,0.8226,0.1469,0.8715,0.1314
Sophisticated Drift,28,0.1558,0.7844,0.1778,0.9321,0.1486
Sophisticated Drift,29,0.1381,0.8019,0.1265,0.9509,0.163
Sophisticated Drift,30,0.123,0.8181,0.185,0.948,0.1404
Sophisticated Drift,31,0.1079,0.7977,0.1797,0.9753,0.1298
Sophisticated Drift,32,0.0921,0.8832,0.1422,1.0,0.1532
Sophisticated Drift,33,0.0787,0.8863,0.1212,0.9985,0.1744
Sophisticated Drift,34,0.0675,0.9483,0.0955,0.8757,0.1672
Sophisticated Drift,35,0.0593,0.9665,0.1089,0.8464,0.1882
Sophisticated Drift,36,0.0531,0.9136,0.0834,0.8307,0.2054
Sophisticated Drift,37,0.0487,0.8804,0.14,0.7951,0.1708
Sophisticated Drift,38,0.0438,0.8867,0.107,0.8147,0.1729
Sophisticated Drift,39,0.0375,0.8763,0.0162,0.8732,0.1904
Sophisticated Drift,40,0.0321,0.8245,0.004,0.8523,0.1849
Sophisticated Drift,41,0.0277,0.7121,0.0,0.8071,0.1506
Sophisticated Drift,42,0.0232,0.6999,0.0,0.902,0.1556
Sophisticated Drift,43,0.0212,0.5845,0.0385,0.8782,0.1846
Sophisticated Drift,44,0.0211,0.623,0.081,0.825,0.2271
Sophisticated Drift,45,0.02,0.5978,0.0335,0.8418,0.1842
Sophisticated Drift,46,0.0199,0.5769,0.0174,0.864,0.2495
Sophisticated Drift,47,0.0208,0.5853,0.1107,0.8351,0.2265
Sophisticated Drift,48,0.0223,0.6184,0.1285,0.8737,0.2514
Sophisticated Drift,49,0.0255,0.5567,0.1304,0.8526,0.2788
Sophisticated Drift,50,0.032,0.4876,0.1764,0.8163,0.2973
Sophisticated Drift,51,0.0438,0.4648,0.2743,0.8319,0.2958
Sophisticated Drift,52,0.0612,0.394,0.3088,0.8701,0.2674
Sophisticated Drift,53,0.0882,0.3905,0.2893,0.8434,0.2814
Sophisticated Drift,54,0.1216,0.5222,0.2819,0.8613,0.2654
Sophisticated Drift,55,0.1609,0.4947,0.2866,0.8587,0.2142
Sophisticated Drift,56,0.2079,0.5613,0.2388,0.9794,0.2839
Sophisticated Drift,57,0.2688,0.5114,0.1794,0.9331,0.2989
Sophisticated Drift,58,0.3435,0.5569,0.1757,0.982,0.3355
Sophisticated Drift,59,0.4198,0.563,0.1304,0.963,0.3095
Sophisticated Drift,60,0.5054,0.5819,0.1292,0.9437,0.3379
Sophisticated Drift,61,0.594,0.6311,0.1349,0.9631,0.3652
Sophisticated Drift,62,0.6868,0.7355,0.2343,0.9868,0.388
Sophisticated Drift,63,0.7623,0.7419,0.1843,1.0,0.3746
Sophisticated Drift,64,0.8188,0.7437,0.1725,1.0,0.3388
Sophisticated Drift,65,0.8616,0.6873,0.1607,0.9668,0.3305
Sophisticated Drift,66,0.8898,0.7215,0.1761,0.9296,0.2811
Sophisticated Drift,67,0.9099,0.7068,0.2148,0.9421,0.2501
Sophisticated Drift,68,0.9233,0.7511,0.1829,0.9558,0.262
Sophisticated Drift,69,0.9321,0.7426,0.1418,1.0,0.2498
Sophisticated Drift,70,0.9365,0.8294,0.0724,0.9997,0.2572
Sophisticated Drift,71,0.9403,0.7071,0.0435,1.0,0.2652
Sophisticated Drift,72,0.9451,0.6919,0.0806,1.0,0.3153
Sophisticated Drift,73,0.9499,0.741,0.0914,1.0,0.3451
Sophisticated Drift,74,0.9539,0.7179,0.0559,0.9546,0.3425
Sophisticated Drift,75,0.9581,0.675,0.0528,0.8922,0.3672
Sophisticated Drift,76,0.9617,0.6662,0.0672,0.8283,0.3467
Sophisticated Drift,77,0.9657,0.6001,0.0994,0.9016,0.3391
Sophisticated Drift,78,0.9692,0.6229,0.0805,0.8612,0.3593
Sophisticated Drift,79,0.9715,0.7645,0.0788,0.9144,0.3316
Sophisticated Drift,80,0.9737,0.5367,0.0114,0.9324,0.3288
Sophisticated Drift,81,0.9754,0.4894,0.0,0.9954,0.3049
Sophisticated Drift,82,0.9775,0.4812,0.074,1.0,0.3153
Sophisticated Drift,83,0.9789,0.5708,0.0,0.9922,0.3565
Sophisticated Drift,84,0.9802,0.522,0.0,0.9654,0.3417
Sophisticated Drift,85,0.9817,0.4894,0.03,0.9547,0.3502
Sophisticated Drift,86,0.9827,0.5696,0.0307,0.9494,0.3342
Sophisticated Drift,87,0.9833,0.6364,0.013,0.9151,0.3158
Sophisticated Drift,88,0.9838,0.6083,0.0295,0.907,0.2987
Sophisticated Drift,89,0.9847,0.5335,0.0459,0.9692,0.3413
Sophisticated Drift,90,0.986,0.4404,0.0565,0.8826,0.3971
Sophisticated Drift,91,0.9871,0.4194,0.0,0.8916,0.4054
Sophisticated Drift,92,0.9882,0.2968,0.0062,0.8502,0.3875
Sophisticated Drift,93,0.9891,0.3966,0.0,0.861,0.4028
Sophisticated Drift,94,0.99,0.387,0.0,0.8978,0.3943
Sophisticated Drift,95,0.9908,0.4549,0.0218,0.8912,0.4115
Sophisticated Drift,96,0.9916,0.6076,0.0665,0.9206,0.4157
Sophisticated Drift,97,0.9922,0.6898,0.1153,0.846,0.4196
Sophisticated Drift,98,0.9929,0.6005,0.0981,0.8962,0.4301
Sophisticated Drift,99,0.9934,0.6629,0.1433,0.8669,0.4146
Sophisticated Drift,100,0.9939,0.7358,0.1923,0.8936,0.4055
Sophisticated Drift,101,0.9944,0.6673,0.2323,0.8977,0.3705
Sophisticated Drift,102,0.9948,0.5949,0.2771,0.7846,0.3681
Sophisticated Drift,103,0.9951,0.5912,0.2504,0.7656,0.3458
Sophisticated Drift,104,0.9955,0.4858,0.2265,0.7905,0.3543
Sophisticated Drift,105,0.9958,0.6067,0.2483,0.8679,0.3448
Sophisticated Drift,106,0.996,0.444,0.1744,0.8803,0.3595
Sophisticated Drift,107,0.9963,0.3946,0.1781,0.8897,0.3798
Sophisticated Drift,108,0.9965,0.4099,0.15,0.8272,0.3581
Sophisticated Drift,109,0.9967,0.4259,0.133,0.8939,0.3528
Sophisticated Drift,110,0.9968,0.4664,0.0606,0.9665,0.3535
Sophisticated Drift,111,0.9969,0.508,0.035,0.9532,0.3763
Sophisticated Drift,112,0.997,0.5102,0.0499,0.9315,0.4227
Sophisticated Drift,113,0.9971,0.6045,0.1009,0.854,0.4446
Sophisticated Drift,114,0.9973,0.4603,0.1484,0.8936,0.4384
Sophisticated Drift,115,0.9975,0.4843,0.1438,1.0,0.4717
Sophisticated Drift,116,0.9977,0.4557,0.1353,1.0,0.4377
Sophisticated Drift,117,0.9978,0.4894,0.101,1.0,0.4728
Sophisticated Drift,118,0.9979,0.5241,0.1238,1.0,0.4576
Sophisticated Drift,119,0.998,0.4761,0.1158,0.9749,0.4004
Presence Absence,0,0.4214,0.7687,0.0604,0.8147,0.1399
Presence Absence,1,0.3917,0.7269,0.0717,0.7857,0.1186
Presence Absence,2,0.3615,0.742,0.017,0.8188,0.1479
Presence Absence,3,0.3309,0.7387,0.0,0.7421,0.134
Presence Absence,4,0.3001,0.7492,0.0367,0.815,0.1451
Presence Absence,5,0.2705,0.6913,0.0325,0.8043,0.132
Presence Absence,6,0.2434,0.6759,0.0614,0.7826,0.1175
Presence Absence,7,0.2245,0.7112,0.1179,0.8116,0.1532
Presence Absence,8,0.205,0.7309,0.1443,0.8653,0.1342
Presence Absence,9,0.1803,0.7888,0.1429,0.882,0.0976
Presence Absence,10,0.1584,0.7909,0.2217,0.926,0.0785
Presence Absence,11,0.1361,0.8882,0.2332,0.9248,0.0705
Presence Absence,12,0.1177,0.8418,0.2043,0.9699,0.1158
Presence Absence,13,0.1014,0.8435,0.2209,1.0,0.1133
Presence Absence,14,0.0901,0.7532,0.2227,0.9854,0.1265
Presence Absence,15,0.0769,0.7044,0.1764,1.0,0.0969
Presence Absence,16,0.0644,0.7717,0.1722,1.0,0.1003
Presence Absence,17,0.0541,0.7332,0.1596,0.9981,0.1099
Presence Absence,18,0.0453,0.7626,0.0806,0.9415,0.1419
Presence Absence,19,0.0374,0.7626,0.0815,0.9201,0.1164
Presence Absence,20,0.0308,0.7212,0.078,0.9469,0.1222
Presence Absence,21,0.0259,0.7154,0.0692,0.8815,0.1207
Presence Absence,22,0.0206,0.7034,0.016,0.9087,0.0916
Presence Absence,23,0.0164,0.6943,0.0196,0.9191,0.0879
Presence Absence,24,0.0129,0.7389,0.0347,0.9249,0.0797
Presence Absence,25,0.0103,0.7726,0.0528,0.8252,0.0293
Presence Absence,26,0.0083,0.7494,0.0214,0.8291,0.048
Presence Absence,27,0.0069,0.7157,0.0616,0.864,0.0627
Presence Absence,28,0.0058,0.7373,0.0258,0.8343,0.0545
Presence Absence,29,0.0048,0.7395,0.033,0.8449,0.0286
Presence Absence,30,0.0044,0.7889,0.097,0.75,0.066
Presence Absence,31,0.0039,0.8995,0.0757,0.7978,0.0722
Presence Absence,32,0.0036,0.9171,0.0645,0.7822,0.0933
Presence Absence,33,0.0034,0.895,0.115,0.8336,0.1195
Presence Absence,34,0.0033,0.8705,0.1027,0.7629,0.1011
Presence Absence,35,0.0032,0.8208,0.0955,0.8096,0.1136
Presence Absence,36,0.0031,0.7765,0.1091,0.8102,0.102
Presence Absence,37,0.0031,0.7347,0.152,0.8547,0.0958
